"Reported_Date","Region","Institution","Total_Active_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date"
"2021-04-05","Northern","Kenora Jail",1,2,0
"2021-04-05","Northern","Monteith Correctional Centre",0,1,0
"2021-04-05","Central","Maplehurst Correctional Complex",5,204,35
"2021-04-05","Central","Niagara Detention Centre",0,7,2
"2021-04-05","Western","Ottawa Carleton Detention Centre",1,21,2
"2021-04-05","Central","Ontario Correctional Institute",0,89,2
"2021-04-05","Eastern","Quinte Detention Centre",1,2,1
"2021-04-05","Western","Sarnia Jail",0,40,11
"2021-04-05","Western","South West Detention Center",4,19,1
"2021-04-05","Western","Stradford Jail",0,0,1
"2021-04-05","Western","Thunder Bay Correctional Centre",2,44,14
"2021-04-05","Western","Thunder Bay Jail",2,72,16
"2021-04-05","Toronto","Toronto East Detention Centre",0,21,4
"2021-04-05","Toronto","Toronto South Detention Centre",3,202,25
"2021-04-05","Central","Milton-Vanier Centre For Women",0,32,7
"2021-04-06","Northern","Algoma Treatment and Remand Centre",0,1,1
"2021-04-06","Central","Central East Correctional Centre",1,15,7
"2021-04-06","Central","Central North Correctional Centre",0,64,3
"2021-04-06","Western","Elgin-Middlesex Det. Centre",8,30,9
"2021-04-06","Central","Hamilton Wentworth Det Centre",2,59,5
"2021-04-06","Northern","Kenora Jail",1,2,0
"2021-04-06","Northern","Monteith Correctional Centre",0,1,0
"2021-04-06","Central","Maplehurst Correctional Complex",9,204,35
"2021-04-06","Central","Niagara Detention Centre",0,7,2
"2021-04-06","Western","Ottawa Carleton Detention Centre",0,21,3
"2021-04-06","Central","Ontario Correctional Institute",0,89,2
"2021-04-06","Eastern","Quinte Detention Centre",0,3,1
"2021-04-06","Western","Sarnia Jail",0,40,11
"2021-04-06","Western","South West Detention Center",2,20,2
"2021-04-06","Western","Stradford Jail",0,0,1
"2021-04-06","Western","Thunder Bay Correctional Centre",3,44,14
"2021-04-06","Western","Thunder Bay Jail",1,73,17
"2021-04-06","Toronto","Toronto East Detention Centre",0,21,4
"2021-04-06","Toronto","Toronto South Detention Centre",3,202,25
"2021-04-06","Central","Milton-Vanier Centre For Women",1,32,7
"2021-04-07","Northern","Algoma Treatment and Remand Centre",0,1,1
"2021-04-07","Central","Central East Correctional Centre",1,15,7
"2021-04-07","Central","Central North Correctional Centre",0,64,3
"2021-04-07","Western","Elgin-Middlesex Det. Centre",5,33,10
"2021-04-07","Central","Hamilton Wentworth Det Centre",2,59,5
"2021-04-07","Northern","Kenora Jail",1,2,0
"2021-04-07","Northern","Monteith Correctional Centre",0,1,0
"2021-04-07","Central","Maplehurst Correctional Complex",9,204,35
"2021-04-07","Central","Niagara Detention Centre",1,7,2
"2021-04-07","Western","Ottawa Carleton Detention Centre",0,21,3
"2021-04-07","Central","Ontario Correctional Institute",0,89,2
"2021-04-07","Eastern","Quinte Detention Centre",0,3,1
"2021-04-07","Western","Sarnia Jail",0,40,11
"2021-04-07","Western","South West Detention Center",2,20,2
"2021-04-07","Western","Stradford Jail",0,0,1
"2021-04-07","Western","Thunder Bay Correctional Centre",3,44,14
"2021-04-07","Western","Thunder Bay Jail",1,73,17
"2021-04-07","Toronto","Toronto East Detention Centre",0,21,4
"2021-04-07","Toronto","Toronto South Detention Centre",3,202,25
"2021-04-07","Central","Milton-Vanier Centre For Women",1,32,7
"2021-04-08","Northern","Algoma Treatment and Remand Centre",0,1,1
"2021-04-08","Central","Central East Correctional Centre",1,15,7
"2021-04-08","Central","Central North Correctional Centre",0,64,3
"2021-04-08","Western","Elgin-Middlesex Det. Centre",6,33,10
"2021-04-08","Central","Hamilton Wentworth Det Centre",2,59,5
"2021-04-08","Northern","Kenora Jail",1,2,0
"2021-04-08","Northern","Monteith Correctional Centre",0,1,0
"2021-04-08","Central","Maplehurst Correctional Complex",7,207,35
"2021-04-08","Central","Niagara Detention Centre",1,7,2
"2021-04-08","Western","Ottawa Carleton Detention Centre",0,21,3
"2021-04-08","Central","Ontario Correctional Institute",0,89,2
"2021-04-08","Eastern","Quinte Detention Centre",0,3,1
"2021-04-08","Western","Sarnia Jail",0,40,11
"2021-04-08","Western","South West Detention Center",2,20,2
"2021-04-08","Western","Stradford Jail",0,0,1
"2021-04-08","Western","Thunder Bay Correctional Centre",3,44,14
"2021-04-08","Western","Thunder Bay Jail",1,73,17
"2021-04-08","Toronto","Toronto East Detention Centre",0,21,4
"2021-04-08","Toronto","Toronto South Detention Centre",3,202,25
"2021-04-08","Central","Milton-Vanier Centre For Women",1,30,11
"2021-04-11","Northern","Algoma Treatment and Remand Centre",0,1,1
"2021-04-11","Central","Central East Correctional Centre",1,15,7
"2021-04-11","Central","Central North Correctional Centre",0,64,3
"2021-04-11","Western","Elgin-Middlesex Det. Centre",13,36,10
"2021-04-11","Central","Hamilton Wentworth Det Centre",2,59,5
"2021-04-11","Northern","Kenora Jail",1,2,0
"2021-04-11","Northern","Monteith Correctional Centre",0,1,0
"2021-04-11","Central","Maplehurst Correctional Complex",7,208,36
"2021-04-11","Central","Niagara Detention Centre",1,7,2
"2021-04-11","Western","Ottawa Carleton Detention Centre",0,21,3
"2021-04-11","Central","Ontario Correctional Institute",0,89,2
"2021-04-11","Eastern","Quinte Detention Centre",0,3,1
"2021-04-11","Western","Sarnia Jail",0,40,11
"2021-04-11","Western","South West Detention Center",0,22,2
"2021-04-11","Western","Stradford Jail",0,0,1
"2021-04-11","Western","Thunder Bay Correctional Centre",3,44,14
"2021-04-11","Western","Thunder Bay Jail",2,73,17
"2021-04-11","Toronto","Toronto East Detention Centre",0,21,4
"2021-04-11","Toronto","Toronto South Detention Centre",4,205,25
"2021-04-11","Central","Milton-Vanier Centre For Women",1,30,11
"2021-04-12","Northern","Algoma Treatment and Remand Centre",0,1,1
"2021-04-12","Central","Central East Correctional Centre",2,15,8
"2021-04-12","Central","Central North Correctional Centre",0,64,3
"2021-04-12","Western","Elgin-Middlesex Det. Centre",13,36,10
"2021-04-12","Central","Hamilton Wentworth Det Centre",2,59,5
"2021-04-12","Northern","Kenora Jail",1,2,0
"2021-04-12","Northern","Monteith Correctional Centre",0,1,1
"2021-04-12","Central","Maplehurst Correctional Complex",7,209,36
"2021-04-12","Central","Niagara Detention Centre",1,7,2
"2021-04-12","Western","Ottawa Carleton Detention Centre",1,21,3
"2021-04-12","Central","Ontario Correctional Institute",0,89,2
"2021-04-12","Eastern","Quinte Detention Centre",0,3,1
"2021-04-12","Western","Sarnia Jail",1,40,11
"2021-04-12","Western","South West Detention Center",0,22,2
"2021-04-12","Western","Stradford Jail",0,0,1
"2021-04-12","Western","Thunder Bay Correctional Centre",3,44,14
"2021-04-12","Western","Thunder Bay Jail",3,73,17
"2021-04-12","Toronto","Toronto East Detention Centre",0,21,4
"2021-04-12","Toronto","Toronto South Detention Centre",4,205,25
"2021-04-12","Central","Milton-Vanier Centre For Women",2,30,11
"2021-04-13","Northern","Algoma Treatment and Remand Centre",0,1,1
"2021-04-13","Central","Central East Correctional Centre",2,15,8
"2021-04-13","Central","Central North Correctional Centre",0,64,3
"2021-04-13","Western","Elgin-Middlesex Det. Centre",13,36,10
"2021-04-13","Central","Hamilton Wentworth Det Centre",2,59,5
"2021-04-13","Northern","Kenora Jail",1,2,0
"2021-04-13","Northern","Monteith Correctional Centre",0,1,1
"2021-04-13","Central","Maplehurst Correctional Complex",5,210,36
"2021-04-13","Central","Niagara Detention Centre",1,7,2
"2021-04-13","Western","Ottawa Carleton Detention Centre",7,21,3
"2021-04-13","Central","Ontario Correctional Institute",0,89,2
"2021-04-13","Eastern","Quinte Detention Centre",0,3,1
"2021-04-13","Western","Sarnia Jail",1,40,11
"2021-04-13","Western","South West Detention Center",0,22,2
"2021-04-13","Western","Stradford Jail",1,0,1
"2021-04-13","Western","Thunder Bay Correctional Centre",1,45,15
"2021-04-13","Western","Thunder Bay Jail",4,73,17
"2021-04-13","Toronto","Toronto East Detention Centre",0,21,4
"2021-04-13","Toronto","Toronto South Detention Centre",7,205,25
"2021-04-13","Central","Milton-Vanier Centre For Women",4,30,11
"2021-04-14","Northern","Algoma Treatment and Remand Centre",0,1,1
"2021-04-14","Central","Central East Correctional Centre",2,15,8
"2021-04-14","Central","Central North Correctional Centre",0,64,3
"2021-04-14","Western","Elgin-Middlesex Det. Centre",13,36,10
"2021-04-14","Central","Hamilton Wentworth Det Centre",6,59,6
"2021-04-14","Northern","Kenora Jail",1,2,0
"2021-04-14","Northern","Monteith Correctional Centre",0,1,1
